Array Size,Key Comparisons,CPU Time
100.0,2239.0,0.38596600006712833
200.0,10816.0,4.805605000001378
300.0,23333.0,4.15403300030448
400.0,41702.0,7.336019999911514
500.0,62601.0,11.269648000052257
600.0,90352.0,17.24492299990743
700.0,121469.0,21.979942000143637
800.0,158777.0,29.14511600010883
900.0,201558.0,36.962848999792186
1000.0,251659.0,47.20222100013416
1100.0,302884.0,56.897987999946054
1200.0,363706.0,70.08871300013197
1300.0,419382.0,79.00617400036936
1400.0,477572.0,89.82935500034728
1500.0,576582.0,110.65348700003597
1600.0,655773.0,122.38800300019648
1700.0,720187.0,135.22026000009646
1800.0,813962.0,152.08699000004344
1900.0,898907.0,168.16695200031972
2000.0,984080.0,184.71846399961578
2100.0,1098688.0,208.41402000041853
2200.0,1218393.0,231.22682699977304
2300.0,1325057.0,249.43091200020717
2400.0,1459201.0,274.64803400016535
2500.0,1573409.0,296.3116969999646
2600.0,1684322.0,315.81141900005605
2700.0,1836705.0,347.5740640001277
2800.0,1967130.0,370.2125589998104
2900.0,2072432.0,390.68234799970014
3000.0,2309094.0,449.0778910003428
3100.0,2443760.0,459.5884539999133
3200.0,2571253.0,485.3077709999525
3300.0,2676105.0,504.161884000041
3400.0,2877158.0,556.7327839999052
3500.0,3054929.0,574.6100639998986
3600.0,3281987.0,619.4297859997278
3700.0,3367893.0,637.8534159998708
3800.0,3650101.0,706.2465630001498
3900.0,3841752.0,730.4821289999381
4000.0,4136779.0,783.4963690002041
4100.0,4151319.0,784.3605480002225
4200.0,4458564.0,843.0581099996743
4300.0,4634018.0,879.1208829998141
4400.0,4830625.0,912.8328130000227
4500.0,5081483.0,970.0396940002065
4600.0,5291583.0,1010.0936349999756
4700.0,5492100.0,1040.4935020001176
4800.0,5794842.0,1097.408288999759
4900.0,5984076.0,1161.9953800000076
5000.0,6331647.0,1214.3782280004416
5100.0,6483121.0,1230.998401999841
5200.0,6765851.0,1280.8727919996272
5300.0,7056741.0,1339.2556359999617
5400.0,7367078.0,1394.0215309999076
5500.0,7670851.0,1455.9819290002451
5600.0,7848174.0,1486.7666529999042
5700.0,8142326.0,1563.1623039998885
5800.0,8446448.0,1606.6267699998207
5900.0,8768350.0,1669.6584950000215
6000.0,8981658.0,1733.6949969999296
6100.0,9230810.0,1758.4976520001874
6200.0,9585288.0,1837.1647590001885
6300.0,9986867.0,1931.8305990000226
6400.0,10384708.0,1980.413211999803
6500.0,10467703.0,1994.7008629997072
6600.0,10964105.0,2079.038717000003
6700.0,11334197.0,2147.4890740000774
6800.0,11487811.0,2199.7049520000473
6900.0,11714071.0,2223.9785120000306
7000.0,12240072.0,2323.396664000029
7100.0,12601204.0,2391.2961070000165
7200.0,13058217.0,2504.554432000077
7300.0,13320859.0,2533.977797999796
7400.0,13676475.0,2611.9657090002875
7500.0,14005171.0,2657.321000000138
7600.0,14691522.0,2810.6332190000103
7700.0,14669775.0,2789.710931999707
7800.0,15260329.0,2904.63277400022
7900.0,15732774.0,2988.1368769997607
8000.0,15939819.0,3055.641992999881
8100.0,16293456.0,3099.3956389997948
8200.0,16830727.0,3200.2114990000337
8300.0,17097191.0,3289.1172679997
8400.0,17678700.0,3380.0986870000997
8500.0,17966223.0,3428.511090000029
8600.0,18540894.0,3561.709766000149
8700.0,18935300.0,3607.0753710000645
8800.0,19245983.0,3679.9904700001207
8900.0,19744732.0,3772.042116999728
9000.0,20004873.0,3813.509982999676
9100.0,20534987.0,3903.9620500002457
9200.0,21229539.0,4070.934435000254
9300.0,21678221.0,4122.86275400038
9400.0,22067663.0,4235.375428000225
9500.0,22625164.0,4302.604679000069
9600.0,23088285.0,4413.36503499997
9700.0,23492014.0,4492.713244000242
9800.0,24042818.0,4588.109029999941
9900.0,24474110.0,4692.614785999922
10000.0,24893599.0,4754.887758000223
