Array Size,Key Comparisons,CPU Time
100.0,99.0,0.01870300002337899
200.0,199.0,0.05434200011222856
300.0,299.0,0.06538699994962371
400.0,399.0,0.06292700004451035
500.0,499.0,0.07857699984015198
600.0,599.0,0.09452400013287843
700.0,699.0,0.11067199989156506
800.0,799.0,0.12640499994631682
900.0,899.0,0.14254600000640494
1000.0,999.0,0.15807599993422627
1100.0,1099.0,0.1830129999689234
1200.0,1199.0,0.20932100005666143
1300.0,1299.0,0.21040399997218628
1400.0,1399.0,0.22325199984152277
1500.0,1499.0,0.2461280000716215
1600.0,1599.0,0.26127099999939674
1700.0,1699.0,0.2727440000853676
1800.0,1799.0,0.29406500016193604
1900.0,1899.0,0.3024109998932545
2000.0,1999.0,0.32632699981149926
2100.0,2099.0,0.3362639999977546
2200.0,2199.0,0.36948199999642384
2300.0,2299.0,0.38789300015196204
2400.0,2399.0,0.3857149999930698
2500.0,2499.0,0.4211709999708546
2600.0,2599.0,0.43559400000958703
2700.0,2699.0,0.43038399985562137
2800.0,2799.0,0.47425399998246576
2900.0,2899.0,0.46397400001296774
3000.0,2999.0,0.4765480000514799
3100.0,3099.0,0.517350000109218
3200.0,3199.0,0.5280340001263539
3300.0,3299.0,0.7431490000726626
3400.0,3399.0,0.6849139999758336
3500.0,3499.0,0.7843460000458435
3600.0,3599.0,0.6290180001542467
3700.0,3699.0,0.6003379999128811
3800.0,3799.0,0.6528090000301745
3900.0,3899.0,0.6448269998600153
4000.0,3999.0,0.667828000132431
4100.0,4099.0,0.6864929998755542
4200.0,4199.0,0.702843999988545
4300.0,4299.0,0.7085530000949802
4400.0,4399.0,0.7143630000427947
4500.0,4499.0,0.9053100000073755
4600.0,4599.0,0.7497540000258596
4700.0,4699.0,0.7674759999645175
4800.0,4799.0,0.7915080000202579
4900.0,4899.0,0.8089660000223375
5000.0,4999.0,0.8232430000134627
5100.0,5099.0,0.8383370000046853
5200.0,5199.0,0.8499450000272191
5300.0,5299.0,0.8883049999894865
5400.0,5399.0,0.8586129999912373
5500.0,5499.0,0.906850999854214
5600.0,5599.0,0.9225500000411557
5700.0,5699.0,0.9318120000898489
5800.0,5799.0,0.9334940000371716
5900.0,5899.0,0.9680320001734799
6000.0,5999.0,0.9879409999484778
6100.0,6099.0,1.0303099998054677
6200.0,6199.0,1.0005859999182576
6300.0,6299.0,1.0414490000130172
6400.0,6399.0,1.0442669999974896
6500.0,6499.0,1.0887449998335796
6600.0,6599.0,1.0876239998651727
6700.0,6699.0,1.1012059999302437
6800.0,6799.0,1.1178439999639522
6900.0,6899.0,1.119455999969432
7000.0,6999.0,1.1459699999250006
7100.0,7099.0,1.1599309998473473
7200.0,7199.0,1.1885370001891715
7300.0,7299.0,1.2121810000280675
7400.0,7399.0,1.2147069999173254
7500.0,7499.0,1.219097999864971
7600.0,7599.0,1.2491289999161381
7700.0,7699.0,1.2418570001955231
7800.0,7799.0,1.2744910000037635
7900.0,7899.0,1.30708799997592
8000.0,7999.0,1.30140900000697
8100.0,8099.0,1.3520229999812727
8200.0,8199.0,1.3488379997852462
8300.0,8299.0,1.3390919998528261
8400.0,8399.0,1.371576999872559
8500.0,8499.0,1.3905740001973754
8600.0,8599.0,1.3925789999120752
8700.0,8699.0,1.4945370000987168
8800.0,8799.0,1.4623170000049868
8900.0,8899.0,1.4499310000246624
9000.0,8999.0,1.4451959998496022
9100.0,9099.0,1.4513439998609101
9200.0,9199.0,1.4884949998759112
9300.0,9299.0,1.71924799997214
9400.0,9399.0,1.5131959999052924
9500.0,9499.0,1.5506830000049376
9600.0,9599.0,1.563607000207412
9700.0,9699.0,1.5591640001275664
9800.0,9799.0,1.6384769999149285
9900.0,9899.0,1.6210680000767752
10000.0,9999.0,1.6259369999716
